answer,task_FEB,group_crl1_tr2_tr3,Text_A1_K2_G3,AKG,clues_per_text,traps_per_text,FNc_inst,FNRc_inst,FPRt_inst,clues_div_traps,text_length,completed_in_minutes,quiz_attempts_left,test_attempts_done,weekday,daytime,hlt_words,FNc,FPt,FPe,FNRc,FPRt,FPRe,hlt_symbols,clue_precision,clue_recall,trap_precision,trap_recall,FPR_words,FNR_words,FP_words,FN_words,clue_count,FPt_inst,groupId_or_goBefore,,clue_1,clue_2,clue_3,clue_4,clue_5,clue_6,clue_7,clue_8,clue_9,clue_10,clue_11,clue_12,clue_13,clue_14,clue_15,clue_16,trap_1,trap_2,trap_3,trap_4,trap_5,trap_6,trap_7,empty
0,1,1,1,Andorra,13,6,14,1.076923077,-0.166666667,2.166666667,7805,1.128416667,2,2,6,12,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,Gastein,15,0,16,1.066666667,0,15,6796,1.156833333,2,1,7,15,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.177666667,2,2,1,20,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Andorra,13,6,14,1.076923077,-0.166666667,2.166666667,7805,1.220266667,2,1,3,12,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,Gastein,15,0,16,1.066666667,0,15,6796,1.322783333,2,1,7,16,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,Gastein,15,0,16,1.066666667,0,15,6796,1.350466667,2,1,3,14,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.40745,2,1,7,13,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.4271,2,1,1,13,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.463916667,2,1,1,9,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.506416667,2,1,1,20,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.552283333,2,1,3,21,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,Gastein,15,0,16,1.066666667,0,15,6796,1.578766667,2,1,3,10,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.67595,2,1,1,8,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,Gastein,15,0,16,1.066666667,0,15,6796,1.71025,2,1,6,16,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2,Kitzbuel,16,3,17,1.0625,-0.333333333,5.333333333,7294,1.713716667,2,1,5,16,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
